,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
99,Pierce Fire,2013-08-16 13:31:00,CAL FIRE/Riverside County Fire,Riverside,Ave 66 and Pierce Street  ,40,CAL FIRE/Riverside County Fire,-116.10815,33.570291,2013-08-16 21:00:00,2013-08-16,2013-08-16
100,Double Fire,2013-08-16 17:57:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Hwy 20 and Mule Skinner Rd., Clear Lake Oaks",70,CAL FIRE Sonoma-Lake-Napa Unit,-122.49189399999999,39.013682,2013-08-18 18:30:00,2013-08-18,2013-08-16
101,Bridges Fire,2013-08-17 10:11:00,CAL FIRE Tuolumne-Calaveras Unit,Calaveras,"Parrott's Ferry Road north of the bridge, near Vallecito & New Melones Lake ",46,"CAL FIRE Tuolumne-Calaveras Unit, Altaville/Melones Fire; Angels City Fire; Murphys Fire; West Point Fire; Central Fire; San Joaquin County; Stanislaus County; Stanislaus National Forest; Los Angeles County Fire.",-120.45233,38.06231,2013-08-19 07:10:00,2013-08-19,2013-08-17
102,Cleghorn Fire,2013-08-17 17:25:00,San Bernardino National Forest,San Bernardino,I-15 Cajon Pass south of Cleghorn Road,110,San Bernardino National Forest,-117.45100000000001,34.287,2013-08-18 20:55:00,2013-08-18,2013-08-17
103,Clover Fire,2013-09-09 12:32:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Community of Igo, 10 miles southwest of Redding",8073,"CAL FIRE Shasta-Trinity Unit, USFS, City of Redding, Anderson Fire Protection District, Burney Fire Protection District, Cottonwood Fire Protection District, Happy Valley Fire Protection District, Shasta County Sheriffs Dept., CHP, Redding Police Dept., Cal OES, PG&E",-122.535496,40.498332,2013-09-15 07:30:00,2013-09-15,2013-09-09
104,Plumas Lightning Complex (Hough),2013-08-18 18:30:00,Plumas National Forest,Plumas,Keddie Ridge/North Arm areas of Indian Valley near Taylorsville,513,Plumas National Forest,-120.76466599999999,40.00842,2013-08-25 13:15:00,2013-08-25,2013-08-18
105,Shirley Fire,2013-08-18 23:12:00,Sequoia National Forest,Kern,Lower Kern River Canyon area off Highway 178,794,Sequoia National Forest,-118.588,35.707,2013-08-24 13:45:00,2013-08-24,2013-08-18
106,Burney Lightning Series (Warner Fire),2013-08-19 17:48:00,CAL FIRE Shasta Unit ,Shasta,Fall River Mills and McAruther area,196,CAL FIRE Shasta Unit ,-121.3754,40.5445,2013-08-23 19:15:00,2013-08-23,2013-08-19
107,Sierra Fire,2013-09-24 15:51:00,San Bernardino National Forest/CAL FIRE San Bernardino Unit,San Bernardino,in the Cajon Pass west of I-15 near Glen Helen Road,200,San Bernardino National Forest/CAL FIRE San Bernardino Unit,-117.417,34.2,2013-09-30 08:30:00,2013-09-30,2013-09-24
108,Deer Fire,2013-08-23 14:15:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Near Deer Creek, 12 miles east of Los Molinos. ",11429,"CAL FIRE Tehama-Glenn Unit, CDCR, USFS, California Fish & Wildlife, California National Guard, Tehama County Sheriff's Office, PG&E",-121.85396999999999,40.042629999999996,2013-08-29 16:45:00,2013-08-29,2013-08-23
109,Gobblers Fire,2013-08-20 13:32:00,San Bernardino National Forest,San Bernardino,upper end of Lytle Creek,413,San Bernardino National Forest,-117.598,34.302,2013-08-20 13:32:00,2013-08-20,2013-08-20
110,Fish Fire,2013-08-24 14:31:00,Sequoia National Forest,Tulare,Golden Trout Wilderness on the Sequoia National Forest.,2060,Sequoia National Forest,-118.444,36.208,2013-09-24 20:15:00,2013-09-24,2013-08-24
111,Empire Fire,2013-08-24 14:54:00,CAL FIRE Amador-El Dorado Unit,El Dorado,off Hwy 193 & Empire Creek Cir near Georgetown,38,CAL FIRE Amador-El Dorado Unit,-120.84716,38.89555,2013-08-24 11:45:00,2013-08-24,2013-08-24
112,Little Fire,2013-08-24 15:09:00,San Bernardino National Forest,San Bernardino,near Thomas Mountain south of Lake Hemet on the San Jacinto Ranger District.,97,San Bernardino National Forest,-116.706,33.641999999999996,2013-08-30 08:00:00,2013-08-30,2013-08-24
113,Chestnut Fire,2013-09-07 13:55:00,CAL FIRE San Mateo-Santa Cruz Unit,San Mateo,"Chestnut Ave and Hillside Blvd, San Bruno Mountain, South San Francisco",41,CAL FIRE San Mateo-Santa Cruz Unit,-122.42728500000001,37.667295,2013-09-07 20:00:00,2013-09-07,2013-09-07
114,Morgan Fire,2013-09-08 13:08:00,CAL FIRE Santa-Clara Unit,Contra Costa,"off Morgan Territory Road, Southeast of Clayton",3111,"CAL FIRE Santa-Clara Unit, CAL FIRE, East Contra Costa Fire Protection District, Contra Costa Fire Protection District, San Ramon Valley Fire, East Bay Regional Parks, CALOES, CDCR, California State Parks, California Highway Patorl, CalTrans, Contra Costa County Sheriff's Department, Contra Costa Public Works, Clayton PD, PG&E, America Red Cross and the Salvation Army.",-121.88258200000001,37.90757,2013-09-14 17:30:00,2013-09-14,2013-09-08
115,Angora Fire,2013-09-08 11:53:00,Sequoia National Forest,Tulare,Golden Trout Wilderness,134,Sequoia National Forest,-118.459,36.258,2013-09-24 20:15:00,2013-09-24,2013-09-08
116,Liveoak Fire,2013-09-11 16:57:00,CAL FIRE San Bernardino Unit,San Bernardino,"Live Oak Canyon Rd, South of I-10 near cities of Redlands and Yucaipa. ",73,CAL FIRE San Bernardino Unit,-117.106075,34.003151,2013-09-12 08:45:00,2013-09-12,2013-09-11
117,Madre Fire,2013-09-23 18:00:00,Angeles National Forest/Los Angeles County Fire,Los Angeles,San Gabriel Canyon 1/4 mile west of the entrance station,268,Angeles National Forest/Los Angeles County Fire,-117.90799999999999,34.149,2013-09-28 08:00:00,2013-09-28,2013-09-23
118,Davis Creek Complex,2013-09-05 15:57:00,Modoc National Forest ,Modoc,"Both sides of Davis Creek near Hwy 395, south of Goose Lake ",97,Modoc National Forest ,-120.375,41.73325,2013-09-24 20:15:00,2013-09-24,2013-09-05
119,Tyler Fire,2013-08-31 14:42:00,CAL FIRE Nevada-Yuba-Placer Unit,Nevada,"North San Juan Area, Highway 49 and Tyler Foote Road",52,CAL FIRE Nevada-Yuba-Placer Unit,-121.107022,39.333401,2013-08-31 21:30:00,2013-08-31,2013-08-31
120,Centerville Fire,2013-08-31 17:23:00,CAL FIRE Butte Unit,Butte,"Off Centerville Rd in the Butte Creek Canyon in the community of Centerville, west of Magalia ",80,"CAL FIRE Butte Unit, CDCR, PG&E, El Medio Fire",-121.71393799999998,39.731878,2013-09-01 18:00:00,2013-09-01,2013-08-31
121,Rail Fire,2013-09-07 17:30:00,Modoc National Forest,Modoc,"Rail Mountain, 7 miles NW of Canby",68,Modoc National Forest,-120.959,41.568999999999996,2013-09-05 21:00:00,2013-09-05,2013-09-07
122,Rim Fire,2013-08-17 15:25:00,Stanislaus National Forest/Yosemite National Park,Tuolumne,3 miles east of Groveland along Hwy 120,257314,Stanislaus National Forest/Yosemite National Park,-120.086,37.857,2013-09-06 18:30:00,2013-09-06,2013-08-17
123,Lyon Fire,2013-09-09 13:09:00,CAL FIRE San Diego Unit / Cleveland National Forest,San Diego,"Four Corners, Lyons Valley Road, east of Lyons Peak",263,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS, CHP, San Diego Co. Sheriff, County Animal Control, SDG&E, Red Cross, SDCO Fire Authority",-116.746023,32.710918,2013-09-12 18:15:00,2013-09-12,2013-09-09
124,Lakeshore Fire,2013-09-15 19:45:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,near the community of Clearlake,30,CAL FIRE Sonoma-Lake-Napa Unit,-122.68299999999999,38.9777,2013-09-15 17:14:00,2013-09-15,2013-09-15
125,Creek Fire,2013-09-24 03:20:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"off Toro Creek Rd, east of Cayucos",94,CAL FIRE San Luis Obispo Unit,-120.8358,35.4393,2013-09-24 17:30:00,2013-09-24,2013-09-24
126,Highland Fire,2013-09-28 13:57:00,CAL FIRE Mendocino Unit,Mendocino,"off Highland Springs Rd, southeast of Kelseyville",98,CAL FIRE Mendocino Unit,-122.96600000000001,38.9252,2013-09-29 18:15:00,2013-09-29,2013-09-28
127,Putah Fire,2013-10-03 20:33:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,off Berryessa Knoxville Rd near Lake Berryessa,376,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Bureau of Reclamation",-122.289,38.628,2013-10-04 16:55:00,2013-10-04,2013-10-03
128,Crane Fire,2013-10-04 12:25:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"near Crane Creek Regional Park off Pressley Rd, east of Rohnert Park ",159,CAL FIRE Sonoma-Lake-Napa Unit,-122.6503,38.34599,2013-10-05 07:45:00,2013-10-05,2013-10-04
129,DeLuz Fire,2013-10-05 12:45:00,Camp Pendleton Marine Corps Base,San Diego,"On Camp Pendleton, west of Fallbrook",2236,Camp Pendleton Marine Corps Base,-117.3092,33.341,2013-10-09 19:00:00,2013-10-09,2013-10-05
130,Summit Fire,2013-10-04 17:37:00,CAL FIRE Butte Unit,Butte,off District Center Dr & Fortune Way in Palermo,305,CAL FIRE Butte Unit,-121.49700000000001,39.439,2013-10-05 22:00:00,2013-10-05,2013-10-04
131,Baker Fire,2013-10-06 10:52:00,Orange County Fire Authority,Orange,"Off Baker Canyon Rd, Silverado Canyon area, east of Irvine",40,Orange County Fire Authority,-117.6649,33.7655,2013-10-09 08:00:00,2013-10-09,2013-10-06
132,Capay Fire,2013-11-04 11:41:00,CAL FIRE Sonoma-Lake-Napa Unit,Yolo,"Off County Road 23 & County Road 81, Southwest of Esparto",163,CAL FIRE Sonoma-Lake-Napa Unit,-122.08725,38.67479,2013-11-04 15:35:00,2013-11-04,2013-11-04
133,Dersch Fire,2013-11-07 16:10:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Off Dersch Rd and Hyrax, Millville",33,CAL FIRE Shasta-Trinity Unit,-122.140914,40.483662,2013-11-07 19:45:00,2013-11-07,2013-11-07
134,Toro Fire,2013-11-08 10:30:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Toro Creek Rd. and Hwy 41 West, Morro Bay",51,"CAL FIRE San Luis Obispo Unit, United States Forest Service, Atascadero City Fire, Paso Robles Fire, San Luis Obispo City Fire, Templeton Fire, Morro Bay City Fire and Cayucos Fire Departments. As well as San Luis Obispo County Sheriff’s Department, and the California Highway Patrol.",-120.75155500000001,35.457978000000004,2013-11-09 17:00:00,2013-11-09,2013-11-08
135,Cantwell Fire,2013-11-08 13:42:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"South of Morgan Valley Rd and East of Hwy 29, Community of Lower Lake",120,CAL FIRE Sonoma-Lake-Napa Unit,-122.567525,38.882214000000005,2013-11-10 18:30:00,2013-11-10,2013-11-08
136,Silverado Fire,2013-11-21 21:39:00,CAL FIRE Sonoma-Lake-Napa Unit,Napa,Off Silverado Trail in the Soda Canyon area near Napa,190,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Rutherford VFD, Soda Canyon VFD, Napa County Sheriff’s Office, and California Dept. of Corrections and Rehabilitation",-122.311,38.382,2013-11-23 18:30:00,2013-11-23,2013-11-21
137,Wheeler Fire,2013-11-14 11:05:00,Ventura County Fire Department,Ventura,"Wheeler Canyon, north of Santa Paula",64,Ventura County Fire Department,-119.13248999999999,34.384,2013-11-15 16:00:00,2013-11-15,2013-11-14
138,Retek Fire,2013-11-22 10:06:00,CAL FIRE Mendocino Unit,Mendocino,"Off Hwy 101 at Henry Station Rd, north of Hopland",82,CAL FIRE Mendocino Unit,-123.1478,39.0442,2013-11-22 17:30:00,2013-11-22,2013-11-22
139,McCabe Fire,2013-11-22 02:04:00,CAL FIRE Sonoma-Lake-Napa Unit,Sonoma,"The Geysers area, 10 miles northeast of Geyserville",3505,"CAL FIRE Sonoma-Lake-Napa Unit, CAL FIRE, Napa County Fire, Geyserville FPD, Healdsburg FD, Cloverdale FPD, Santa Rosa FD, Sonoma Valley FRA, Glen Ellen FPD, Schell-Vista FPD, Forestville FPD, Graton FPD, Gold Ridge FPD, Occidental CSD, Bennett Valley FPD, Sebastopol FD, Rancho Adobe FPD, CHP, Cal Trans, Sonoma County Sheriff’s, CAL OES, California Department of Correction and Rehabilitation, Sonoma County Fire Services, Bureau of Land Management, United States Forest Service.",-122.8498,38.8167,2013-11-27 18:15:00,2013-11-27,2013-11-22
140,Bruner Fire,2013-11-23 12:04:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Off Bruner Drive & Al Drive, Clearlake Oaks",50,CAL FIRE Sonoma-Lake-Napa Unit,-122.7656,39.0448,2013-11-24 08:45:00,2013-11-24,2013-11-23
141,Dam Fire,2013-11-23 14:17:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Off Dam Rd, southeast of Clear Lake",23,CAL FIRE Sonoma-Lake-Napa Unit,-122.5818,38.9289,2013-11-24 18:45:00,2013-11-24,2013-11-23
142,Grant Fire,2013-12-31 05:30:00,CAL FIRE Santa Clara Unit,Santa Clara,off Mount Hamilton Road near Grant Ranch County Park,40,CAL FIRE Santa Clara Unit,-121.717706,37.342186,2013-12-31 16:00:00,2013-12-31,2013-12-31
143,Campbell Fire,2014-01-02 20:00:00,Lassen National Forest,Tehama,"Ishi Wilderness, north of Campbellville in the Lassen National Forest",865,Lassen National Forest,-121.79018300000001,40.134597,2014-01-10 18:30:00,2014-01-10,2014-01-02
144,Colby Fire,2014-01-16 05:50:00,Angeles National Forest and LA County Fire Department,Los Angeles,"near Morris Reservoir, north of Glendora",1952,Angeles National Forest and LA County Fire Department,-117.8816,34.1703,2014-01-27 10:00:00,2014-01-27,2014-01-16
145,Red Fire,2014-01-04 12:00:00,CAL FIRE Humboldt Del-Norte Unit,Humboldt,"South of Berry Summit, west of Willow Creek",333,CAL FIRE Humboldt Del-Norte Unit,-123.773779,40.884415000000004,2014-01-08 19:15:00,2014-01-08,2014-01-04
146,Lake Fire,2014-01-25 06:37:00,CAL FIRE Fresno-Kings Unit,Fresno,off Trimmer Springs Rd & Sunnyslope Rd near Pine Flat Lake ,106,CAL FIRE Fresno-Kings Unit,-119.3415,36.8266,2014-01-26 18:00:00,2014-01-26,2014-01-25
147,Gun Fire,2014-03-08 12:30:00,USFS - Cleveland National Forest,San Diego,"Off Interstate 8 & Sunrise Hwy, near Pine Valley",125,USFS - Cleveland National Forest,-116.49,32.81,2014-03-11 11:00:00,2014-03-11,2014-03-08
148,Encinal Fire,2014-03-19 16:45:00,CAL FIRE San Benito-Monterey Unit,Monterey,"Off Encinal Rd, 8 miles southeast of Salinas",400,CAL FIRE San Benito-Monterey Unit,-121.4819,36.6313,2014-03-21 18:00:00,2014-03-21,2014-03-19
149,Van Buren Fire,2014-03-28 14:31:00,CAL FIRE / Riverside County Fire,Riverside,Off Ave 62 and Van Buren St in Thermal,57,CAL FIRE / Riverside County Fire,-116.1985,33.5982,2014-03-29 17:15:00,2014-03-29,2014-03-28
150,Bridges Fire,2014-04-19 15:54:00,CAL FIRE San Bernardino Unit,Inyo,"off Highway 6 & 5 Bridges Rd, 5 miles northeast of Bishop",113,"CAL FIRE San Bernardino Unit, Bishop Fire Dept, Inyo National Forest, Los Angeles Dept of Water and Power (LADWP), BLM - Desert District, CHP and Inyo Sheriff",-118.352,37.399,2014-04-21 19:15:00,2014-04-21,2014-04-19
151,Etiwanda Fire,2014-04-30 08:00:00,CAL FIRE San Bernardino / USFS / Rancho Cucamonga Fire,San Bernardino,North of Rancho Cucamonga,2143,"CAL FIRE San Bernardino / USFS / Rancho Cucamonga Fire, CAL FIRE, US Forest Service and Rancho Cucamonga Fire",-117.547374,34.169346000000004,2014-05-05 17:30:00,2014-05-05,2014-04-30
152,Jacumba Fire,2014-05-05 16:36:00,CAL FIRE San Diego Unit,San Diego,"Off Interstate 8, east of McCain Valley Rd, east of Boulevard",29,CAL FIRE San Diego Unit,-116.22200000000001,32.665,2014-05-06 10:20:00,2014-05-06,2014-05-05
153,Bernardo Fire,2014-05-13 11:00:00,CAL FIRE San Diego Unit/San Diego City Fire/Rancho Santa Fe Fire District,San Diego,"off Nighthawk Lane, southwest of Rancho Bernardo",1548,CAL FIRE San Diego Unit/San Diego City Fire/Rancho Santa Fe Fire District,-117.133,33.003,2014-05-17 20:14:00,2014-05-17,2014-05-13
154,San Lucas Fire,2014-04-30 14:25:00,CAL FIRE San Benito-Monterey Unit,Monterey,"San Lucas & Jolon Rd, west of King City ",75,CAL FIRE San Benito-Monterey Unit,-121.117,36.103,2014-05-01 19:00:00,2014-05-01,2014-04-30
155,Miguelito Fire,2014-05-13 14:00:00,Santa Barbara County Fire,Santa Barbara,Off Santa Miguelito Canyon Road in Lompoc,632,"Santa Barbara County Fire, San Diego City, USFS, OES, Red Cross, San Diego PD, San Diego SO, San Diego School PD, CHP, CCC.",-120.454,34.609,2014-05-19 09:20:00,2014-05-19,2014-05-13
156,Tomahawk Fire,2014-05-14 09:45:00,Marine Corps Base Camp Pendleton,San Diego,"Traveled from Naval Weapons Station, Fallbrook and is now on Camp Pendleton ",5367,Marine Corps Base Camp Pendleton,-117.28488899999999,33.3529,2014-05-19 09:20:00,2014-05-19,2014-05-14
157,San Mateo Fire,2014-05-16 11:24:00,Marine Corps Base Camp Pendleton,San Diego,in the Talega area of Marine Corps Base Camp Pendleton,1457,Marine Corps Base Camp Pendleton,-117.55056699999999,33.417572,2014-05-20 23:30:00,2014-05-20,2014-05-16
158,Highway Fire,2014-05-14 13:00:00,CAL FIRE San Diego Unit,San Diego,off Old Hwy 395 and I-15 in the Deer Springs area ,380,CAL FIRE San Diego Unit,-117.162,33.312,2014-05-15 18:30:00,2014-05-15,2014-05-14
159,Fiddler Fire,2014-05-14 14:00:00,CAL FIRE Shasta-Trinity Unit,Shasta,Off Perla Rd & Fiddlers Rd in Igo,50,CAL FIRE Shasta-Trinity Unit,-122.721,40.39,2014-05-15 11:30:00,2014-05-15,2014-05-14
160,Cocos Fire,2014-05-14 16:00:00,San Marcos Fire / CAL FIRE San Diego Unit / Elfin Forest Fire Dept,San Diego,"Village Drive and Twin Oaks Road, San Marcos",1995,San Marcos Fire / CAL FIRE San Diego Unit / Elfin Forest Fire Dept,-117.1599,33.1137,2014-05-22 18:15:00,2014-05-22,2014-05-14
161,Poinsettia Fire,2014-05-14 10:30:00,Carlsbad Fire Department,San Diego,off Poinsettia Ln & Alicante Rd in Carlsbad,600,Carlsbad Fire Department,-117.279,33.1109,2014-05-17 00:00:00,2014-05-17,2014-05-14
162,Indian Fire,2014-05-25 12:20:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,"Near Indian Valley Reservoir, East of Clearlake Oaks",175,CAL FIRE Sonoma-Lake-Napa Unit,-122.5983,39.1647,2014-05-26 08:45:00,2014-05-26,2014-05-25
163,59 Fire,2014-06-04 11:45:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,"near Bonds Flat Rd & La Grange Rd (J59), west of Don Pedro Reservoir",487,CAL FIRE Tuolumne-Calaveras Unit,-120.45087,37.76617,2014-06-05 20:00:00,2014-06-05,2014-06-04
164,Hetch Hetchy Fire,2014-06-05 13:04:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,"off La Grange Rd (J59) at Hetch Hetchy power lines, northwest shore of Don Pedro Reservoir",269,CAL FIRE Tuolumne-Calaveras Unit,-120.45200000000001,37.787,2014-06-06 09:30:00,2014-06-06,2014-06-05
165,Hall Fire,2014-06-11 07:30:00,CAL FIRE Fresno-Kings Unit,Fresno,near Hwy 180 & Hall Lane near Squaw Valley,25,CAL FIRE Fresno-Kings Unit,-119.24149299999999,36.742746999999994,2014-06-09 19:15:00,2014-06-09,2014-06-11
166,Morgan Fire,2014-06-09 15:15:00,CAL FIRE Fresno-Kings Unit,Fresno,"near the 16,000 block of Highway 168 near Prather",40,CAL FIRE Fresno-Kings Unit,-119.52550600000001,36.991825,2014-06-11 07:30:00,2014-06-11,2014-06-09
167,Norman Fire,2014-06-12 14:29:00,CAL FIRE Sonoma-Lake-Napa Unit,Solano,"off Rolling Hills Lane, north of Vacaville ",70,CAL FIRE Sonoma-Lake-Napa Unit,38.453,121.999,2014-06-13 08:00:00,2014-06-13,2014-06-12
168,Haigh Fire,2014-06-10 15:11:00,CAL FIRE Madera-Mariposa-Merced Unit,Mariposa,"Highway 49 and Haigh Rd., north of Coulterville",130,CAL FIRE Madera-Mariposa-Merced Unit,-120.197,37.7103,2014-06-13 18:30:00,2014-06-13,2014-06-10
169,Shirley Fire,2014-06-13 17:00:00,Sequoia National Forest,Kern,3 Miles south of Shirley Meadows,3895,Sequoia National Forest,-118.555527,35.70683,2014-06-20 08:30:00,2014-06-20,2014-06-13
170,Tehama Fire,2014-06-13 12:23:00,CAL FIRE Tehama-Glenn Unit,Tehama,"Rancho Tehama, southwest of Red Bluff",225,CAL FIRE Tehama-Glenn Unit,-122.345078,40.009827,2014-06-13 13:50:00,2014-06-13,2014-06-13
171,Reed Fire,2014-06-20 15:27:00,CAL FIRE Tuolumne Calaveras Unit,Calaveras,"off George Reed Drive and Pool Station Road, San Andreas",120,CAL FIRE Tuolumne Calaveras Unit,38.178241,120.679019,2014-06-21 19:00:00,2014-06-21,2014-06-20
172,Oak Fire,2014-06-22 12:37:00,CAL FIRE Tuolumne Calaveras Unit,Calaveras,"Oak Valley Road at Pool Station Road, south of San Andreas",85,"CAL FIRE Tuolumne Calaveras Unit, USFS, Central Fire, Mokelumne Hill Fire, San Andreas Fire, Angels Fire, Copperopolis Fire, Altaville/Melones Fire, PG&E, CHP, Calaveras County SO",-120.66,38.058,2014-06-24 19:00:00,2014-06-24,2014-06-22
173,Butts Fire,2014-07-01 12:08:00,CAL FIRE Sonoma-Lake-Napa Unit,"Napa, Lake","Off Butts Canyon Rd in Pope Valley, northwest of Lake Berryessa",4300,"CAL FIRE Sonoma-Lake-Napa Unit, Napa County Sheriff's, CHP, United States Forest Service, CAL OES, Napa County OES, Lake County OES, PG&E, Bureau of Land Management, California Department of Corrections and Rehabilitation, Napa County Fire",-122.454,38.664,2014-07-09 18:00:00,2014-07-09,2014-07-01
174,Bible Fire,2014-07-09 14:34:00,CAL FIRE Amador-El Dorado Unit,El Dorado,"off Mt Aukum Rd, Somerset ",30,CAL FIRE Amador-El Dorado Unit,-120.70323799999998,38.608336,2014-07-09 16:45:00,2014-07-09,2014-07-09
175,Bully Fire,2014-07-11 15:37:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Plantina Road at Bland Road, Igo",12661,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire, BLM, USFS, Shasta County Sheriff’s Office, CHP, Cal  OES, CDCR, CCC and Shasta County DPW.",-122.75078799999999,40.4314,2014-07-26 20:00:00,2014-07-26,2014-07-11
176,Monticello Fire,2014-07-04 21:32:00,CAL FIRE Sonoma-Lake-Napa Unit,Yolo,"Hwy 128 at Monticello Dam, southeast shore of Lake Berryessa ",6488,"CAL FIRE Sonoma-Lake-Napa Unit, Winters FPD, Yolo County Sheriff, Lake County Sheriff, Napa County Fire, local government fire agencies of Napa, Solano and Yolo counties, CAL OES, California Department of Corrections and Rehabilitation, CHP, Bureau of Land Management, Red Cross, PG&E, Yolo County Animal Services, Cal Trans, City of Woodland, City of Winters, and Yolo County OES.",-122.104,38.512,2014-07-12 18:00:00,2014-07-12,2014-07-04
