,incident_name,incident_date_created,incident_administrative_unit,incident_county,incident_location,incident_acres_burned,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created
1070,Simmons Fire,2018-07-19 12:00:00,CAL FIRE Butte Unit,Butte,"Off Highway 162 & Simmons Rd, Lake Oroville",43,CAL FIRE Butte Unit,-121.43131000000001,39.57202,2019-01-04 09:40:00,2019-01-04,2018-07-19
1071,Ben Fire,2018-07-19 13:07:00,CAL FIRE Madera-Mariposa-Merced Unit,Mariposa,"Ben Hur Rd & Preston Rd, south of Ben Hur",40,CAL FIRE Madera-Mariposa-Merced Unit,-119.97546000000001,37.28365,2019-01-04 09:39:00,2019-01-04,2018-07-19
1072,Cinnamon Fire,2018-07-20 13:07:00,CAL FIRE San Diego Unit,San Diego,"Old Julian Way & Cinnamon Rock Rd, east of Ramona",13,"CAL FIRE San Diego Unit, SDSO",-116.78928,33.04898,2019-01-04 09:39:00,2019-01-04,2018-07-20
1073,Skyline Fire,2018-07-19 17:22:00,Unified Command: CAL FIRE/Riverside County Fire Department and Corona City Fire ,Riverside,"off Skyline Drive and Burrero Way, in an unincorporated county area west of Corona Cit",282,Unified Command: CAL FIRE/Riverside County Fire Department and Corona City Fire ,-117.607577,33.836101,2019-01-04 09:39:00,2019-01-04,2018-07-19
1074,Highland Fire,2018-07-20 13:26:00,CAL FIRE Shasta-Trinity Unit,Shasta,"Highland Ridge Rd & Trinity Mt Rd, French Gulch",63,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Shasta Fire Department, Millville Fire Protection District, Mountain Gate Fire Protection District, Bureau of Land Management (BLM), California Department of Corrections and Rehabilitation (CDCR)",-122.649626,40.741186,2019-01-04 09:38:00,2019-01-04,2018-07-20
1075,Windmill Fire,2018-07-20 14:23:00,Santa Barbara County Fire,Santa Barbara,"Highway 246, west of Buellton",110,Santa Barbara County Fire,-120.22298,34.62412,2019-01-04 09:38:00,2019-01-04,2018-07-20
1076,Carder Fire,2018-07-21 14:40:00,CAL FIRE Lake-Napa Unit,Lake,"Adobe Creek Rd & Peterson Ln, Kelseyville",50,CAL FIRE Lake-Napa Unit,-122.86854,38.91152,2019-01-04 09:38:00,2019-01-04,2018-07-21
1077,Rock Fire,2018-07-21 15:50:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"off Chimney Rock Rd and Gage Irving Rd, south of Lake Nacimiento (San Luis Obispo County)",30,CAL FIRE San Luis Obispo Unit,-120.95156999999999,35.685390000000005,2019-01-04 09:38:00,2019-01-04,2018-07-21
1078,Mustang Fire,2018-07-21 15:01:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,"Paso Robles Rd & Adelaida Rd, west of Paso Robles",37,CAL FIRE San Luis Obispo Unit,-120.71907,35.64917,2019-01-04 09:38:00,2019-01-04,2018-07-21
1079,Country Fire,2018-07-22 13:06:00,Unified Command: CAL FIRE Santa Clara Unit and Milpitas Fire Department,Santa Clara,County Club Rd & N Park Victoria Rd in Milpitas ,320,"Unified Command: CAL FIRE Santa Clara Unit and Milpitas Fire Department, CHP, Fremont FD, Milpitas PD, San Francisco Public Utilities, Santa Clara County (OES, Parks, Sheriff), South Bay Incident Management Team (Mountain View FD, San Jose FD, Santa Clara Co FD), Spring Valley Fire Department",-121.88807,37.449425,2019-01-04 09:37:00,2019-01-04,2018-07-22
1080,Heart Fire,2018-07-21 16:22:00,CAL FIRE Mendocino Unit,Mendocino,"Hwy 101 at mile marker 38, west of Redwood Valley (Mendocino County) ",67,CAL FIRE Mendocino Unit,-123.258319,39.279833,2019-01-04 09:37:00,2019-01-04,2018-07-21
1081,Horse Creek Fire,2018-07-19 16:25:00,Sequoia Kings National Park,Tulare,"Mineral King Rd, Ash Mountain area",34,Sequoia Kings National Park,-118.70443,36.42638,2019-01-04 09:39:00,2019-01-04,2018-07-19
1082,Carr Fire,2018-07-23 13:15:00,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area","Shasta, Trinity","Hwy 299 and Carr Powerhouse Rd, Whiskeytown",229651,"Unified Command: CAL FIRE Shasta-Trinity Unit, US Forest Service and NPS Whiskeytown National Recreation Area, PG&E, CHP, CAL OES, Bureau of Land Management, CCC, CDCR",-122.62357,40.65428,2019-01-04 09:37:00,2019-01-04,2018-07-23
